tmc,NORMALIZEDSTART
129+05655,53910.8398
129+05687,18654.2665
129+08931,19079.4737
129-06345,20841.5376
129+08954,30923.457
129-08433,2124.7988
129-08741,76619.7771
129-08703,14291.8702
129-10248,23579.9441
129-08402,1952.8427
129+08799,3475.7516
129+05811,28608.1417
129+05818,29242.4822
129-04874,2733.1951
129+04834,12234.0368
129+05318,8956.5691
129-09934,794.5629
129-08432,2389.9194
129-05692,33947.9986
129-10098,6201.9307
129-04769,5184.1575
129+09899,34500.9572
129-04809,8177.6994
129+07606,5010.5912
129+08553,10823.3681
129-06327,5270.1823
129-08960,39446.5187
129+08957,35594.3716
129-08455,14837.3958
129+04896,9612.578
129+08986,35988.6191
129+05599,36778.1702
129-09023,24889.3013
129-04875,2172.9434
129+08460,4068.6114
129-06282,43293.3667
129-05536,11046.1369
129+08638,2282.1812
129+08910,33805.1282
129+08903,18394.3178
129-05603,30077.2579
129+08823,8179.9148
129-04784,4272.27
129+09907,14918.7364
129+09551,14189.1868
129+08442,2135.4583
129-05669,2637.1653
129+10056,20918.2211
129-04799,21571.0105
129-08824,10649.2576
129-05697,43713.1423
129-08711,4690.7672
129-05795,13785.5939
129-08678,11183.6338
129+08702,15865.6852
129-08668,10311.1613
129+04884,5905.6661
129-07635,12120.1123
129-04854,14460.462
129+08476,1148.7736
129+05699,45687.1582
129-04834,13492.0427
129-10099,5123.1788
129-08461,2810.2239
129+08066,20051.6376
129-05641,5459.3869
129+06477,16466.7349
129+09055,17360.8573
129-08176,8533.2332
129-08474,3084.4541
129+04830,10119.3684
129-08682,18208.244
129+08787,3284.7906
129+04791,10237.5679
129+05577,16671.2355
129+08978,26122.4486
129+08675,3318.9148
129+08120,13124.8429
129+04824,5119.4625
129+06374,45984.4693
129+09283,16823.2566
129+08681,13630.4181
129+05685,16772.119
129+08938,33291.52
129-07633,6209.5736
129+06325,20702.2838
129-08980,31102.8041
129-05788,29457.3101
129-08180,15194.9124
129-08798,4711.7096
129+05691,28800.7091
129-04895,9820.9735
